Date,Price,Open,High,Low,Volume,Close
03/30/2020,6391.00,5890.40,6576.50,5872.50,14734189639.00,6224.50
03/29/2020,5890.40,6233.20,6258.80,5889.30,13425266806.00,6074.05
03/28/2020,6233.70,6373.40,6374.30,6046.50,13199651698.00,6210.40
03/27/2020,6373.40,6725.50,6813.70,6322.30,15144925408.00,6568.00
03/26/2020,6725.10,6677.90,6772.90,6541.70,25002886689.00,6657.30
03/25/2020,6678.90,6744.80,6930.20,6474.60,21744728353.00,6702.40
03/24/2020,6744.60,6468.80,6814.20,6380.80,19258205289.00,6597.50
03/23/2020,6468.90,5822.00,6564.70,5710.80,16408941156.00,6137.75
03/22/2020,5822.10,6186.90,6394.40,5771.20,14141152736.00,6082.80
03/21/2020,6186.20,6205.60,6438.30,5887.00,13034629109.00,6162.65
03/20/2020,6205.30,6171.60,6858.10,5748.20,17115474183.00,6303.15
03/19/2020,6172.00,5359.20,6379.50,5256.00,15305343413.00,5817.75
03/18/2020,5361.40,5260.70,5373.10,5020.90,13125712443.00,5197.00
03/17/2020,5261.10,5030.20,5432.80,4946.50,13668823409.00,5189.65
03/16/2020,5030.00,5366.40,5369.30,4477.70,13139456229.00,4923.50
03/15/2020,5366.30,5182.90,5863.30,5120.60,12200497197.00,5491.95
03/14/2020,5182.70,5589.40,5634.90,5072.20,13160830305.00,5353.55
03/13/2020,5584.30,4815.20,5934.30,3869.50,18009742607.00,4901.90
03-12-2020,4826.00,7935.20,7963.10,4546.60,15592264032.00,6254.85
03-11-2020,7935.10,7892.10,7976.50,7606.00,19384942333.00,7791.25
03-10-2020,7891.20,7933.00,8145.50,7740.20,17618660671.00,7942.85
03-09-2020,7933.00,8035.80,8158.80,7648.70,19604381101.00,7903.75
03-08-2020,8034.10,8887.80,8888.00,8015.30,14532641605.00,8451.65
03-07-2020,8887.80,9134.20,9180.80,8848.70,13808286059.00,9014.75
03-06-2020,9134.80,9060.60,9165.20,9004.90,15151387859.00,9085.05
03-05-2020,9060.30,8757.90,9147.30,8751.50,15220412632.00,8949.40
03-04-2020,8757.90,8761.30,8840.30,8679.70,16071646996.00,8760.00
03-03-2020,8761.40,8906.10,8911.70,8669.30,14313052244.00,8790.50
03-02-2020,8904.80,8537.50,8961.80,8503.10,15651592610.00,8732.45
03-01-2020,8540.00,8543.80,8737.20,8437.20,13797825640.00,8587.20
02/29/2020,8543.70,8697.10,8793.70,8539.80,15504249442.00,8666.75
02/28/2020,8697.50,8820.10,8898.70,8451.90,15868748866.00,8675.30
02/27/2020,8818.60,8800.10,8968.30,8538.50,16803377857.00,8753.40
02/26/2020,8800.30,9317.10,9368.10,8672.00,21942878958.00,9020.05
02/25/2020,9317.20,9662.60,9672.30,9269.80,16268708849.00,9471.05
02/24/2020,9662.70,9943.20,9981.00,9507.00,28705065488.00,9744.00
02/23/2020,9942.70,9655.60,9965.60,9653.40,44496255609.00,9809.50
02/22/2020,9655.70,9684.50,9706.50,9569.80,32593129501.00,9638.15
02/21/2020,9684.50,9602.20,9747.10,9574.50,30948255332.00,9660.80
02/20/2020,9602.40,9611.90,9681.40,9448.90,28426779937.00,9565.15
02/19/2020,9609.40,10158.60,10230.90,9424.30,27706531577.00,9827.60
02/18/2020,10158.40,9701.50,10230.10,9601.60,26583653947.00,9915.85
02/17/2020,9701.40,9931.70,9951.50,9468.90,24324691031.00,9710.20
02/16/2020,9932.30,9907.40,10056.40,9654.90,21242676385.00,9855.65
02/15/2020,9907.70,10336.00,10369.80,9831.70,21132220847.00,10100.75
02/14/2020,10333.00,10235.50,10372.40,10125.20,26170255634.00,10248.80
